Go.	Geh.
I'm dancing.	Ich tanze gerade.
I'm dieting.	Ich bin auf Diät.
I'm fasting.	Ich faste.
I'm finicky.	Ich bin pingelig.
I'm healthy.	Ich bin bei guter Gesundheit.
I'm healthy.	Ich bin gesund.
I'm humming.	Ich summe.
I'm humming.	Ich summe gerade.
I'm in debt.	Ich habe Schulden.
I'm in debt.	Ich bin verschuldet.
I'm in here.	Ich bin hier drin.
I'm in jail.	Ich bin im Gefängnis.
I'm in love.	Ich bin verliebt.
I'm in pain.	Ich habe Schmerzen.
I'm injured.	Ich bin verletzt.
I'm jealous.	Ich bin eifersüchtig.
I'm leaving.	Ich gehe.
I'm leaving.	Ich verschwinde.
I'm married.	Ich bin verheiratet.
I'm nervous.	Ich bin nervös.
I'm no liar.	Ich bin kein Lügner.
I'm no liar.	Ich bin keine Lügnerin.
I'm not Tom.	Ich bin nicht Tom.
I'm not fat.	Ich bin nicht dick!
I'm not old.	Ich bin nicht alt.
I'm not shy.	Ich bin nicht schüchtern.
I'm not you.	Ich bin nicht du.
I'm outside.	Ich bin draußen.
I'm over it.	Ich bin darüber hinweg.
I'm patient.	Ich bin geduldig.
I'm popular.	Ich bin beliebt.
I'm relaxed.	Ich bin entspannt.
I'm resting.	Ich ruhe mich aus.
I'm retired.	Ich bin in Rente.
I'm sad now.	Jetzt bin ich traurig.
I'm selfish.	Ich bin selbstsüchtig.
I'm serious.	Es ist mein Ernst.
I'm serious.	Ich meine es ernst.
I'm shocked.	Ich bin erschrocken.
I'm sincere.	Ich bin aufrichtig.
I'm so cold.	Mir ist so kalt.
I'm so full.	Ich bin so satt.
I'm starved.	Ich sterbe vor Hunger!
I'm staying.	Ich bleibe.
I'm staying.	Ich bleib’.
I'm stuffed!	Ich bin pappsatt.
I'm stunned.	Ich bin fassungslos.
I'm talking.	Ich spreche gerade.
I'm the law.	Das Gesetz bin ich!
I'm the law.	Ich bin das Gesetz.
I'm thirsty.	Ich habe Durst.
I'm thirsty.	Ich bin durstig.
I'm through.	Ich bin damit durch.
I'm touched.	Ich bin gerührt.
I'm trapped.	Ich bin gefangen.
I'm unarmed.	Ich bin unbewaffnet.
I'm unhappy.	Ich bin unglücklich.
I'm unlucky.	Ich habe Pech.
I'm unusual.	Ich bin ungewöhnlich.
I'm up here.	Ich bin hier oben.
I'm useless.	Ich bin nutzlos.
I'm useless.	Ich bin ein Nichtsnutz.
I'm wealthy.	Ich bin wohlhabend.
I'm winning.	Ich gewinne.
I'm winning.	Ich bin am Gewinnen.
I'm wounded.	Ich bin verletzt.
I've failed.	Ich bin gescheitert.
I've got it.	Ich hab’s!
I've had it.	Ich bin bedient.
Ignore that.	Ignorier das.
Ignore them.	Ignoriere sie.
Ignore them.	Ignorieren Sie sie.
Ignore them.	Ignoriert sie.
Is Tom busy?	Hat Tom viel zu tun?
Is Tom good?	Ist Tom brav?
Is Tom here?	Ist Tom hier?
Is Tom next?	Ist Tom als Nächster dran?
Is Tom sick?	Ist Tom krank?
Is Tom sure?	Ist Tom sich sicher?
Is Tom tall?	Ist Tom groß?
Is Tom well?	Geht es Tom gut?
Is he right?	Hat er recht?
Is it Tom's?	Ist es Toms?
Is it foggy?	Ist es neblig?
Is it legal?	Ist das legal?
Is it legal?	Ist das gesetzlich zugelassen?
Is it tasty?	Schmeckt es?
Is it tasty?	Schmeckt's?
Is it there?	Ist es da?
Is it there?	Ist er da?
Is it there?	Ist sie da?
Is it to go?	Zum Mitnehmen?
Is it white?	Ist es weiß?
Is it windy?	Ist es windig?
Is it yours?	Ist es deins?
Is it yours?	Ist es Ihres?
Is it yours?	Ist das deins?
Is it yours?	Ist das eures?
Is she gone?	Ist sie weg?
Is she nice?	Ist sie nett?
Is that Tom?	Ist das Tom?
Is that fun?	Macht das Spaß?
Is that new?	Ist das neu?
Is that you?	Wär's das?
Is this Tom?	Ist das Tom?
Is this art?	Ist das Kunst?
Is this new?	Ist das neu?
It can't be!	Das ist nicht möglich!
It can't be!	Das kann nicht sein!
It happened.	Es ist passiert.
It happened.	Es ist geschehen.
It is foggy.	Es ist neblig.
It is foggy.	Es ist Nebel.
It is on me.	Das geht auf mich!
It may rain.	Vielleicht wird es regnen.
It may rain.	Vielleicht regnet es.
It may snow.	Vielleicht schneit es.
It saved me.	Das hat mich gerettet.
It was cold.	Es war kalt.
It was dark.	Es war dunkel.
It was real.	Es war real.
It'll be OK.	Es wird in Ordnung gehen.
It'll break.	Es wird kaputt gehen.
It'll break.	Es wird brechen.
It's 50 yen.	Das sind fünfzig Yen.
It's Monday.	Es ist Montag.
It's a bull.	Das ist ein Bulle.
It's a fake.	Das ist eine Fälschung.
It's a fish.	Das ist ein Fisch.
It's a joke.	Das ist ein Witz.
It's a pity.	Es ist schade.
It's a rule.	Es ist eine Regel.
It's boring.	Das ist langweilig.
It's broken.	Es ist kaputt.
It's cloudy.	Es ist bewölkt.
It's for me.	Es ist für mich.
It's for us.	Es ist für uns.
It's futile.	Es ist nutzlos.
It's locked.	Sie ist abgeschlossen.
It's locked.	Er ist abgeschlossen.
It's my job.	Es ist mein Job.
It's my job.	Das ist meine Arbeit.
It's no use.	Es hat keinen Zweck.
It's no use.	Es bringt nichts.
It's poison.	Das ist Gift.
It's secret.	Das ist geheim.
It's secret.	Es ist geheim.
It's simple.	Es ist einfach.
It's spring.	Es ist Frühling.
It's stupid.	Das ist blöd.
It's urgent.	Es ist dringend.
It's urgent.	Es eilt.
It's urgent.	Es ist dringlich.
Jump across.	Spring drüber.
Jump across.	Springen Sie hinüber.
Just say no.	Sag einfach nein.
Just try it.	Versuch's doch einfach!
Just try it.	Versucht es doch einfach!
Just try it.	Versuchen Sie's doch einfach!
Keep moving.	Beweg dich weiter!
Keep moving.	Bewegen Sie sich weiter!
Keep moving.	Bewegt euch weiter!
Keep trying.	Versuch's weiter!
Let me help.	Lass mich dir helfen!
Let me help.	Lassen Sie mich Ihnen helfen!
Let me know.	Lass es mich wissen.
Let me talk.	Lass mich sprechen.
Let's begin.	Lasst uns beginnen.
Let's begin.	Lassen Sie uns anfangen.
Let's begin.	Lassen Sie uns loslegen.
Let's begin.	Lasst uns loslegen.
Let's begin.	Lasst uns anfangen.
Let's begin.	Fangen wir an!
Let's begin.	Lasst uns anfangen!
Let's begin.	Lass uns anfangen!
Let's check.	Lasst uns nachprüfen.
Let's dance.	Lass uns tanzen.
Let's do it!	Tun wir's!
Let's do it!	Lass es uns in Angriff nehmen!
Let's go up.	Lass uns hochgehen!
Let's relax.	Entspannen wir uns!
Let's split.	Teilen wir uns auf!
Let's start!	Los geht's.
Let's start!	Fangen wir an!
Let's start!	Lasst uns anfangen!
Let's start.	Fangen wir an!
Let's study.	Lasst uns studieren!
Life is fun.	Das Leben macht Spaß.
Look at Tom.	Schau dir Tom an.
Look at him.	Schaue ihn an.
Look closer.	Schau genauer hin.
Look closer.	Schaut genauer hin.
Look closer.	Schauen Sie genauer hin.
Lunch is on.	Mittagessen ist fertig.
Make a list.	Mach eine Liste.
Make a list.	Machen Sie eine Liste.
Make a list.	Macht eine Liste.
Make a wish.	Wünsch dir was.
Many thanks.	Vielen Dank!
Many thanks.	Danke sehr!
May I begin?	Darf ich anfangen?
May I smoke?	Darf ich rauchen?
Memorize it.	Präg es dir ein.
Memorize it.	Prägt es euch ein.
Memorize it.	Prägen Sie es sich ein.
Money talks.	Geld regiert die Welt.
Nice timing.	Gutes Timing!
No means no.	Nein heißt nein.
No one came.	Niemand kam.
No one came.	Es kam keiner.
No one left.	Niemand ist gegangen.
Nobody came.	Es ist niemand gekommen.
Nobody came.	Es kam niemand.
Nobody came.	Niemand kam.
Nobody died.	Niemand ist gestorben.
Nobody knew.	Keiner wusste Bescheid.
Nobody lied.	Niemand hat gelogen.
Nobody move!	Keine Bewegung!
Now I'm mad.	Jetzt bin ich wütend.
Now I'm sad.	Jetzt bin ich traurig.
Now you try.	Jetzt versuch's du.
OK, you win.	Gut, du hast gewonnen.
OK. I agree.	Gut, ich bin einverstanden.
OK. I agree.	Okay, ich bin einverstanden.
Oh, come on.	Ach, komm schon!
Pick a card.	Nimm eine Karte!
Plants grow.	Pflanzen wachsen.
Please clap.	Bitte klatschen!
Please come.	Komm bitte.
Please come.	Kommt bitte.
Please come.	Kommen Sie bitte.
Please sing.	Sing bitte.
Please stop!	Halten Sie bitte an!
Please wait.	Bitte warten Sie.
Put it back.	Stell es zurück.
Put it down.	Leg es hin!
Put it down.	Legen Sie es hin!
Put it down.	Legt es hin!
Record this.	Nimm das auf!
Record this.	Nehmen Sie das auf!
Record this.	Nehmt das auf!
Release Tom.	Lass Tom frei!
Release Tom.	Lassen Sie Tom frei!
Release Tom.	Lasst Tom frei!
Release him.	Lass ihn frei!
Remember it.	Merk es dir.
Return fire.	Schießt zurück.
Return fire.	Schießen Sie zurück.
Say goodbye.	Verabschiede dich!
Say goodbye.	Verabschiedet euch!
Say goodbye.	Sag „Auf Wiedersehen!“!
Say goodbye.	Sagt „Auf Wiedersehen!“!
Say nothing.	Nichts sagen!
Say nothing.	Sag nichts.
Send Tom in.	Schick Tom herein!
Send Tom in.	Schicken Sie Tom herein!
Send Tom in.	Schickt Tom herein!
Shall we go?	Gehen wir?
She bit him.	Sie hat ihn gebissen.
She bit him.	Sie biss ihn.
She blushed.	Sie wurde rot.
She blushed.	Sie errötete.
She blushed.	Sie lief rot an.
She fainted.	Sie wurde ohnmächtig.
She hit him.	Sie hat ihn geschlagen.
She is curt.	Sie ist schroff.
She is kind.	Sie ist nett.
She is kind.	Sie ist freundlich.
She is kind.	Sie ist liebenswürdig.
She slipped.	Sie rutschte aus.
She slipped.	Sie ist ausgerutscht.
She woke up.	Sie wachte auf.
She's a dog.	Sie hat einen Hund.
She's happy.	Sie ist glücklich.
Show him in.	Bring ihn herein.
Show him in.	Bringen Sie ihn herein.
Sit with me.	Setz dich zu mir!
Stand aside.	Geh zur Seite!
Stand aside.	Gehen Sie zur Seite!
Stand still.	Steht still!
Stand still.	Stehen sie still!
Stand still.	Stehe still!
Start again.	Fang noch einmal an.
Start again.	Beginnen Sie noch einmal.
Step inside.	Geh rein!
Stick to it!	Bleibt dabei!
Stick to it!	Bleibe dabei!
Stick to it!	Bleiben Sie dabei!
Stick to it!	Bleib dabei!
Stop crying.	Hör auf zu weinen!
Stop moving!	Beweg dich nicht!
Stop trying.	Probier es nicht länger.
Stop trying.	Probiert es nicht länger.
Stop trying.	Probieren Sie es nicht länger.
Stop! Thief!	Haltet den Dieb!
Surprise me.	Überrasche mich.
Surprise me.	Überraschen Sie mich.
Surprise me.	Überrascht mich.
Take a bath.	Geh baden!
Take a bath.	Bade!
Take a bath.	Badet!
Take a bath.	Baden Sie!
Take a bite.	Beiß mal rein!
Take a card.	Nimm eine Karte!
Take a card.	Nehmen Sie eine Karte!
Take a look.	Schau mal.
Take a seat.	Setz dich!
Take a seat.	Setzen Sie sich!
Take a seat.	Setz dich hin!
Take a walk.	Geh spazieren!
Take a walk.	Gehen Sie spazieren!
Take a walk.	Geht spazieren!
Take action.	Handele!
Take action.	Handeln Sie!
Take action.	Handelt!
Take my car.	Nimm meinen Wagen!
Take my car.	Nehmen Sie meinen Wagen!
Take my car.	Nehmt meinen Wagen!
Talk slower.	Rede langsamer.
Talk to Tom.	Sprich mit Tom!
Tea, please.	Tee bitte.
Tell Tom no.	Erteil Tom eine Absage.
Tell Tom no.	Erteilen Sie Tom eine Absage.
Tell Tom no.	Erteilt Tom eine Absage.
That helped.	Das hat geholfen.
That is all.	Das ist alles.
That's cool.	Das ist cool.
That's cool.	Das ist geil.
That's dumb.	Das ist blöd.
That's fine.	Das ist in Ordnung.
That's free.	Das ist gratis.
That's hers.	Das gehört ihr.
That's huge.	Das ist enorm.
That's life.	So ist das Leben.
That's milk.	Das ist Milch.
That's mine.	Das gehört mir.
That's okay.	Das ist in Ordnung.
That's okay.	Das ist okay.
That's over.	Das ist vorbei.
That's true.	Das stimmt.
That's wise.	Das ist klug.
The TV's on.	Der Fernseher ist an.
There he is.	Da ist er.
There it is!	Da ist es ja!
There it is!	Da ist er ja!
There it is!	Da ist sie ja!
There it is.	Da ist er.
There it is.	Da ist es.
There it is.	Da ist sie.
There's Tom.	Dort ist Tom.
They burned.	Sie brannten.
They burned.	Sie sind verbrannt.
They called.	Sie riefen an.
They called.	Sie haben angerufen.
They called.	Sie kamen vorbei.
They called.	Sie sind vorbeigekommen.
They danced.	Sie tanzten.
They did it.	Sie haben es geschafft.
They hugged.	Sie umarmten sich.
They hugged.	Sie drückten sich.
They kissed.	Sie küssten sich.
They may go.	Sie können gehen.
They may go.	Die dürfen gehen.
They saw me.	Sie sahen mich.
They saw me.	Die haben mich gesehen.
They smiled.	Sie lächelten.
They waited.	Sie warteten.
They walked.	Sie gingen zu Fuß.
They're bad.	Sie sind schlecht.
They're new.	Sie sind neu.
They're old.	Sie sind alt.
Think again.	Denk noch mal nach!
This is Tom.	Dies ist Tom.
This is Tom.	Das ist Tom.
This is Tom.	Hier spricht Tom.
This is big.	Das ist groß.
This is his.	Das ist seins.
This is ice.	Das ist Eis.
This is new.	Das ist neu.
This stinks.	Das ist Mist.
Tom ate out.	Tom ging essen.
Tom beat me.	Tom hat mich geschlagen.
Tom belched.	Tom rülpste.
Tom blinked.	Tom blinzelte.
Tom blinked.	Tom zwinkerte.
Tom blushed.	Tom wurde rot.
Tom came by.	Tom kam vorbei.
Tom came in.	Tom kam rein.
Tom can win.	Tom kann gewinnen.
Tom changed.	Tom hat sich verändert.
Tom changed.	Tom veränderte sich.
Tom cheated.	Tom hat betrogen.
Tom cheated.	Tom betrog.
Tom cheated.	Tom schummelte.
Tom cheated.	Tom hat geschummelt.
Tom cheered.	Tom jubelte.
Tom clapped.	Tom klatschte.
Tom coughed.	Tom hustete.
Tom decided.	Tom hat entschieden.
Tom drowned.	Tom ertrank.
Tom escaped.	Tom entkam.
Tom exhaled.	Tom atmete aus.
Tom fainted.	Tom wurde ohnmächtig.
Tom frowned.	Tom runzelte die Stirn.
Tom frowned.	Tom blickte finster drein.
Tom gave in.	Tom gab auf.
Tom gave up.	Tom gab auf.
Tom gets it.	Tom versteht das.
Tom giggled.	Tom kicherte.
Tom gloated.	Tom freute sich hämisch.
Tom got mad.	Tom wurde böse.
Tom grinned.	Tom grinste.
Tom groaned.	Tom ächzte.
Tom groaned.	Tom stöhnte.
Tom had fun.	Tom hatte Spaß.
Tom has OCD.	Tom leidet unter Zwängen.
Tom has OCD.	Tom leidet an einer Zwangserkrankung.
Tom hurt me.	Tom hat mir weh getan.
Tom hurt me.	Tom hat mir wehgetan.
Tom inhaled.	Tom hat eingeatmet.
Tom is a DJ.	Tom ist Schallplattenunterhalter.
Tom is back.	Tom ist wieder da.
Tom is back.	Tom ist zurück.
Tom is bald.	Tom hat eine Glatze.
Tom is bald.	Tom ist kahl.
Tom is busy.	Tom ist beschäftigt.
Tom is busy.	Tom hat zu tun.
Tom is calm.	Tom ist ruhig.
Tom is cold.	Tom ist kalt.
Tom is cold.	Tom friert.
Tom is cool.	Tom ist ein Hammertyp.
Tom is cool.	Tom ist cool.
Tom is cute.	Tom ist süß.
Tom is done.	Tom ist fertig.
Tom is down.	Tom ist deprimiert.
Tom is evil.	Tom ist böse.
Tom is fair.	Tom ist fair.
Tom is fast.	Tom ist schnell.
Tom is fine.	Tom geht es gut.
Tom is full.	Tom ist satt.
Tom is glad.	Tom ist froh.
Tom is gone.	Tom ist weg.
Tom is good.	Tom ist brav.
Tom is here.	Tom ist da.
Tom is home.	Tom ist zu Hause.
Tom is hurt.	Tom ist verletzt.
Tom is kind.	Tom ist gütig.
Tom is last.	Tom ist der Letzte.
Tom is late.	Tom ist zu spät.
Tom is lazy.	Tom ist faul.
Tom is lost.	Tom hat sich verirrt.
Tom is loud.	Tom ist laut.
Tom is mean.	Tom ist gemein.
Tom is nice.	Tom ist nett.
Tom is nuts.	Tom hat einen Dachschaden.
Tom is poor.	Tom ist arm.
Tom is rich.	Tom ist reich.
Tom is rude.	Tom ist unhöflich.
Tom is rude.	Tom ist ein Rüpel.
Tom is safe.	Tom ist in Sicherheit.
Tom is sick.	Tom ist krank.
Tom is slim.	Tom ist schlank.
Tom is slow.	Tom hat eine lange Leitung.
Tom is sure.	Tom ist sich sicher.
Tom is tall.	Tom ist groß.
Tom is thin.	Tom ist dünn.
Tom is tidy.	Tom ist ordentlich.
Tom is vain.	Tom ist eitel.
Tom is vain.	Tom ist aufgeblasen.
Tom is vain.	Tom ist eingebildet.
Tom is weak.	Tom ist schwach.
Tom is wise.	Tom ist weise.
Tom kneeled.	Tom kniete.
Tom kneeled.	Tom kniete sich hin.
Tom knew it.	Tom wusste es.
Tom knew it.	Tom kannte es.
Tom knew it.	Tom kannte ihn.
Tom knew it.	Tom kannte sie.
Tom laughed.	Tom lachte.
Tom listens.	Tom hört zu.
Tom made it.	Tom hat es geschafft.
Tom may die.	Tom könnte sterben.
Tom may win.	Tom kann gewinnen.
Tom noticed.	Tom hat es bemerkt.
Tom paid me.	Tom hat mich bezahlt.
Tom paid me.	Tom bezahlte mich.
Tom painted.	Tom malte.
Tom prepaid.	Tom zahlte im Voraus.
Tom ran off.	Tom lief weg.
Tom ran off.	Tom ist weggelaufen.
Tom refused.	Tom lehnte ab.
Tom refused.	Tom hat abgelehnt.
Tom relaxed.	Tom entspannte sich.
Tom relaxed.	Tom hat sich entspannt.
Tom replied.	Thomas hat geantwortet.
Tom replied.	Thomas antwortete.
Tom said no.	Tom sagte nein.
Tom saw her.	Tom sah sie.
Tom saw her.	Tom hat sie gesehen.
Tom saw him.	Tom sah ihn.
Tom saw him.	Tom hat ihn gesehen.
Tom saw you.	Tom sah dich.
Tom saw you.	Tom hat dich gesehen.
Tom sent me.	Tom hat mich geschickt.
Tom shot me.	Tom schoss auf mich.
Tom shouted.	Tom rief.
Tom slipped.	Tom rutschte aus.
Tom slipped.	Tom ist ausgerutscht.
Tom sneezed.	Tom nieste.
Tom stopped.	Tom hielt an.
Tom stopped.	Tom hat angehalten.
Tom sweated.	Tom schwitzte.
Tom sweated.	Tom hat geschwitzt.
Tom teaches.	Tom unterrichtet.
Tom told me.	Tom hat es mir gesagt.
Tom told us.	Tom hat es uns erzählt.
Tom took it.	Tom nahm es.
Tom tripped.	Tom stolperte.
Tom tripped.	Tom ist gestolpert.
Tom vomited.	Tom hat sich übergeben.
Tom was hot.	Tom war heiß.
Tom was hot.	Tom war scharf.
Tom was hot.	Tom war angesagt.
Tom was mad.	Tom war außer sich.
Tom was old.	Tom war alt.
Tom was out.	Tom war ausgegangen.
Tom was sad.	Tom war betrübt.
Tom was sad.	Tom war traurig.
Tom was shy.	Tom war schüchtern.
Tom watched.	Thomas sah zu.
Tom watched.	Thomas hat zugesehen.
Tom watched.	Thomas schaute zu.
Tom watched.	Thomas hat zugeschaut.
Tom will go.	Tom wird gehen.
Tom will go.	Tom geht.
Tom'll call.	Tom wird anrufen.
Tom'll come.	Tom kommt.
Tom'll help.	Tom wird helfen.
Tom'll know.	Tom wird es wissen.
Tom'll lose.	Tom wird verlieren.
Tom'll quit.	Tom wird aussteigen.
Tom'll quit.	Tom wird aufhören.
Tom'll stay.	Tom wird bleiben.
Tom'll talk.	Tom wird reden.
Tom'll wait.	Tom wird warten.
Tom's alert.	Tom ist hellwach.
Tom's alive.	Tom ist am Leben.
Tom's alive.	Tom lebt.
Tom's alone.	Tom ist allein.
Tom's angry.	Tom ist wütend.
Tom's angry.	Tom ist verärgert.
Tom's awake.	Tom ist wach.
Tom's bored.	Tom ist gelangweilt.
Tom's crazy.	Tom ist bescheuert.
Tom's drunk.	Tom ist betrunken.
Tom's dying.	Tom liegt im Sterben.
Tom's flaky.	Tom ist unzuverlässig.
Tom's funny.	Tom ist witzig.
Tom's great.	Tom ist toll.
Tom's happy.	Tom ist glücklich.
Tom's lucky.	Tom hat Glück.
Tom's lying.	Tom lügt.
Tom's older.	Tom ist älter.
Tom's pushy.	Tom ist zudringlich.
Tom's right.	Tom hat recht.
Tom's right.	Tom hat Recht.
Tom's smart.	Tom ist klug.
Tom's sorry.	Es tut Tom leid.
Tom's tipsy.	Tom hat einen im Tee.
Tom's tough.	Tom ist zäh.
Tom's upset.	Tom ist bestürzt.
Tom's weird.	Tom ist komisch.
Tom's wrong.	Tom hat unrecht.
Tom's young.	Tom ist jung.
Tom, get up!	Tom, aufstehen!
Trust in me.	Vertraue mir!
Try that on.	Probier das an!
Try this on.	Probier den an!
Try this on.	Probier die an!
Try this on.	Probier das an!
Turn around.	Dreh um.
Turn around.	Dreh dich um.
Turn it off.	Drehe es zu.
Turn it off.	Mach das aus.
Turn it off.	Mach ihn aus.
Turn it off.	Mach sie aus.
Turn it off.	Mach es aus.
Turn on CNN.	Schalte mal CNN ein!
Use caution.	Sei vorsichtig!
Use caution.	Seid vorsichtig!
Use caution.	Seien Sie vorsichtig!
Use caution.	Gehe vorsichtig zu Werke!
Use caution.	Lass Vorsicht walten!
Use caution.	Gehen Sie vorsichtig zu Werke!
Use caution.	Geht vorsichtig zu Werke!
Use caution.	Lasst Vorsicht walten!
Use caution.	Lassen Sie Vorsicht walten!
Vote for me!	Wählt mich!
Vote for me!	Wählen Sie mich!
Vote for me!	Wähle mich!
Vote for me!	Gib mir deine Stimme!
Wait for us.	Warte auf uns!
Wait for us.	Wartet auf uns!
Wait for us.	Warten Sie auf uns!
Wake Tom up.	Wecke Tom!
Walk slowly.	Geh langsam.
War is hell.	Krieg ist die Hölle.
Was I wrong?	Lag ich damit falsch?
Was it cold?	War es kalt?
Was it good?	War es gut?
We all know.	Wir wissen es alle.
We all work.	Wir arbeiten alle.
We are here.	Wir sind hier.
We are sick.	Wir sind krank.
We ate eggs.	Wir haben Eier gegessen.
We broke up.	Wir haben Schluss gemacht.
We can meet.	Wir können uns treffen.
We can talk.	Wir können sprechen.
We can wait.	Wir können warten.
We can't go.	Wir können nicht gehen.
We found it.	Wir haben es gefunden.
We found it.	Wir haben sie gefunden.
We found it.	Wir haben ihn gefunden.
We help Tom.	Wir helfen Tom.
We know Tom.	Wir kennen Tom.
We know him.	Wir kennen ihn.
We know why.	Wir wissen, warum.
We know you.	Wir kennen dich.
We like Tom.	Wir mögen Tom.
We love Tom.	Wir lieben Tom.
We miss Tom.	Wir vermissen Tom.
We miss you.	Wir vermissen dich.
We miss you.	Du fehlst uns.
We must run.	Wir müssen rennen.
We need Tom.	Wir brauchen Tom.
We need you.	Wir brauchen dich.
We need you.	Wir brauchen Sie.
We need you.	Wir brauchen euch.
We promised.	Wir haben es versprochen.
We remember.	Wir erinnern uns.
We remember.	Wir erinnern uns daran.
We sat down.	Wir setzten uns.
We stole it.	Wir haben es gestohlen.
We survived.	Wir haben überlebt.
We want Tom.	Wir wollen Tom.
We want one.	Wir wollen eins.
We'll be OK.	Wir werden okay sein.
We'll check.	Wir werden es überprüfen.
We'll dance.	Wir gehen tanzen.
We'll do it.	Wir machen das.
We'll drive.	Wir werden fahren.
We'll fight.	Wir werden kämpfen.
We'll hurry.	Wir werden uns beeilen.
We'll hurry.	Wir beeilen uns.
We'll share.	Wir werden teilen.
We'll shoot.	Wir werden schießen.
We'll stand.	Wir werden stehen.
We'll start.	Wir fangen an.
We'll start.	Wir werden anfangen.
We're alone.	Wir sind allein.
We're armed.	Wir sind bewaffnet.
We're awake.	Wir sind wach.
We're bored.	Uns ist langweilig.
We're broke.	Wir sind pleite.
We're clean.	Wir sind sauber.
We're close.	Wir stehen uns nahe.
We're crazy.	Wir sind verrückt.
We're dizzy.	Uns ist schwindlig.
We're dying.	Wir sterben.
We're early.	Wir sind zeitig.
We're going.	Wir gehen.
We're happy.	Wir sind glücklich.
We're human.	Wir sind menschlich.
We're ready.	Wir sind bereit.
We're right.	Wir haben recht.
We're saved.	Wir sind gerettet.
We're sorry.	Es tut uns leid.
We're stuck.	Wir stecken fest.
We're tired.	Wir sind müde.
We're upset.	Wir sind verärgert.
We're upset.	Wir sind bestürzt.
We're young.	Wir sind jung.
What a bore!	Wie langweilig!
What a dump.	Was für ein Drecksloch.
What a loss!	Was für ein Verlust!
What a mess!	Was für ein Durcheinander!
What a pity!	Wie schade!
What a team!	Was für ein Team!
What an ego!	Was für ein Ego!
What is new?	Was gibts Neues?
What's good?	Was ist gut?
What's next?	Was kommt als Nächstes?
What's that?	Was ist das für ein Ding?
What's this?	Was ist das für ein Ding?
What's this?	Was ist das hier?
Where is he?	Wo ist er?
Where is it?	Wo ist er?
Where is it?	Wo ist sie?
Where is it?	Wo ist es?
Where's Tom?	Wo ist Tom?
Who are you?	Wer bist du?
Who are you?	Wer seid ihr?
Who cheated?	Wer hat geschummelt?
Who cheated?	Wer schummelte?
Who cheated?	Wer betrog?
Who cheated?	Wer hat betrogen?
Who cheered?	Wer hat gejubelt?
Who escaped?	Wer entkam?
Who escaped?	Wer ist entkommen?
Who hit Tom?	Wer hat Tom geschlagen?
Who hit you?	Wer hat dich geschlagen?
Who hit you?	Wer hat Sie geschlagen?
Who hit you?	Wer hat euch geschlagen?
Who is next?	Wer ist als nächster an der Reihe?
Who is that?	Wer ist das?
Who saw you?	Wer hat dich gesehen?
Who saw you?	Wer hat Sie gesehen?
Who saw you?	Wer hat euch gesehen?
Who saw you?	Wer sah euch?
Who saw you?	Wer sah dich?
Who saw you?	Wer sah Sie?
Who stopped?	Wer hielt an?
Who stopped?	Wer hat angehalten?
Who'll come?	Wer kommt?
Who'll cook?	Wer wird kochen?
Who'll cook?	Wer wird das Essen zubereiten?
Who's dying?	Wer stirbt?
Who's dying?	Wer liegt im Sterben?
Who's first?	Wer ist die Nummer eins?
Who's going?	Wer geht?
Who's right?	Wer hat recht?
Who's there?	Wer da?
Who's there?	Wer ist da?
Who's tired?	Wer ist müde?
Why is that?	Wie kommt das?
Why is that?	Warum ist das so?
Why is this?	Woran liegt das?
Will he die?	Wird er sterben?
Wood floats.	Holz schwimmt.
Work slowly.	Arbeitet langsam.
Write to me.	Schreib mir!
Write to me.	Schreiben Sie mir!
Write to me.	Schreibt mir!
Yes, I know.	Ja, ich weiß.
You are big.	Du bist groß.
You can try.	Du kannst es versuchen.
You can try.	Ihr könnt es versuchen.
You can try.	Sie können es versuchen.
You cheated.	Du hast gemogelt.
You did lie.	Du hast doch gelogen!
You hurt me.	Du tust mir weh.
You hurt me.	Du hast mir wehgetan.
You keep it.	Das können Sie ruhig behalten.
You keep it.	Das könnt ihr ruhig behalten.
You keep it.	Das kannst du ruhig behalten.
You keep it.	Den kannst du ruhig behalten.
You keep it.	Den können Sie ruhig behalten.
You keep it.	Den könnt ihr ruhig behalten.
You keep it.	Die können Sie ruhig behalten.
You keep it.	Die kannst du ruhig behalten.
You keep it.	Die könnt ihr ruhig behalten.
You know me.	Sie kennen mich.
You know me.	Du kennst mich.
You made it.	Sie haben es geschafft.
You made it.	Du hast es geschafft.
You must go.	Du musst gehen.
You must go.	Du musst hingehen.
You need it.	Ihr braucht es.
You need it.	Sie brauchen es.
You need me.	Du brauchst mich.
You need me.	Ihr braucht mich.
You need me.	Sie brauchen mich.
You need us.	Du brauchst uns.
You need us.	Sie brauchen uns.
You need us.	Ihr braucht uns.
You said it!	Ja, es ist wirklich so.
You said it!	Ganz genau!
You woke me.	Du hast mich geweckt.
You're back.	Du bist zurück.
You're back.	Sie sind zurück.
You're back.	Ihr seid zurück.
You're cute.	Du bist süß.
You're fair.	Du bist fair.
You're fine.	Du bist in Ordnung.
You're good.	Du bist brav.
You're here.	Du bist hier.
You're kind.	Du bist nett.
You're late.	Du kommst spät.
You're lost.	Sie haben sich verirrt.
You're lost.	Du hast dich verirrt.
You're lost.	Ihr habt euch verirrt.
You're mean.	Du bist gemein.
You're mine.	Du gehörst mir.
You're next.	Du bist der Nächste.
